date,numerator,denominator
2022-06-27,188,1
2022-06-28,203,1
2022-06-29,199,1
2022-06-30,218,1
2022-07-01,194,1
2022-07-02,198,1
2022-07-03,183,1
2022-07-04,199,1
2022-07-05,218,1
2022-07-06,227,1
2022-07-07,214,1
2022-07-08,221,1
2022-07-09,214,1
2022-07-10,188,1
2022-07-11,215,1
2022-07-12,193,1
2022-07-13,208,1
2022-07-14,207,1
2022-07-15,209,1
2022-07-16,203,1
2022-07-17,215,1
2022-07-18,212,1
2022-07-19,212,1
2022-07-20,206,1
2022-07-21,215,1
2022-07-22,222,1
2022-07-23,228,1
2022-07-24,239,1
2022-07-25,213,1
2022-07-26,222,1
2022-07-27,205,1
2022-07-28,206,1
2022-07-29,213,1
2022-07-30,192,1
2022-07-31,205,1
2022-08-01,217,1
2022-08-02,218,1
2022-08-03,233,1
2022-08-04,206,1
2022-08-05,223,1
2022-08-06,185,1
2022-08-07,232,1
2022-08-08,216,1
2022-08-09,214,1
2022-08-10,240,1
2022-08-11,216,1
2022-08-12,208,1
2022-08-13,188,1
2022-08-14,211,1
2022-08-15,215,1
2022-08-16,217,1
2022-08-17,223,1
2022-08-18,212,1
2022-08-19,223,1
2022-08-20,232,1
2022-08-21,203,1
2022-08-22,237,1
2022-08-23,219,1
2022-08-24,209,1
2022-08-25,238,1
2022-08-26,214,1
2022-08-27,238,1
2022-08-28,255,1
2022-08-29,242,1
2022-08-30,252,1
2022-08-31,236,1
2022-09-01,242,1
2022-09-02,218,1
2022-09-03,209,1
2022-09-04,229,1
2022-09-05,250,1
2022-09-06,227,1
2022-09-07,220,1
2022-09-08,233,1
2022-09-09,225,1
2022-09-10,228,1
2022-09-11,191,1
2022-09-12,234,1
2022-09-13,232,1
2022-09-14,254,1
2022-09-15,239,1
2022-09-16,234,1
2022-09-17,246,1
2022-09-18,265,1
2022-09-19,250,1
2022-09-20,241,1
2022-09-21,252,1
2022-09-22,238,1
2022-09-23,252,1
2022-09-24,223,1
2022-09-25,192,1
2022-09-26,249,1
2022-09-27,257,1
2022-09-28,248,1
2022-09-29,249,1
2022-09-30,247,1
2022-10-01,215,1
2022-10-02,239,1
2022-10-03,264,1
2022-10-04,240,1
2022-10-05,250,1
2022-10-06,243,1
2022-10-07,237,1
2022-10-08,216,1
2022-10-09,266,1
2022-10-10,253,1
2022-10-11,254,1
2022-10-12,247,1
2022-10-13,258,1
2022-10-14,264,1
2022-10-15,250,1
2022-10-16,235,1
2022-10-17,252,1
2022-10-18,257,1
2022-10-19,253,1
2022-10-20,237,1
2022-10-21,254,1
2022-10-22,254,1
2022-10-23,255,1
2022-10-24,244,1
2022-10-25,279,1
2022-10-26,272,1
2022-10-27,264,1
2022-10-28,260,1
2022-10-29,293,1
2022-10-30,264,1
2022-10-31,266,1
2022-11-01,256,1
2022-11-02,259,1
2022-11-03,275,1
2022-11-04,288,1
2022-11-05,269,1
2022-11-07,253,1
2022-11-08,244,1
2022-11-09,257,1
2022-11-10,270,1
2022-11-11,252,1
2022-11-12,278,1
2022-11-13,232,1
2022-11-14,297,1
2022-11-15,276,1
2022-11-16,260,1
2022-11-17,268,1
2022-11-18,268,1
2022-11-19,287,1
2022-11-20,277,1
2022-11-21,274,1
2022-11-22,275,1
2022-11-23,264,1
2022-11-24,282,1
2022-11-25,287,1
2022-11-26,299,1
2022-11-27,236,1
2022-11-28,269,1
2022-11-29,269,1
2022-11-30,289,1
2022-12-01,282,1
2022-12-02,291,1
2022-12-03,275,1
2022-12-04,313,1
2022-12-05,293,1
2022-12-06,291,1
2022-12-07,303,1
2022-12-08,293,1
2022-12-09,291,1
2022-12-10,283,1
2022-12-11,277,1
2022-12-12,270,1
2022-12-13,304,1
2022-12-14,285,1
2022-12-15,291,1
2022-12-16,295,1
2022-12-17,301,1
2022-12-18,286,1
2022-12-19,279,1
2022-12-20,296,1
2022-12-21,296,1
2022-12-22,285,1
2022-12-23,290,1
2022-12-24,317,1
2022-12-25,282,1
2022-12-26,294,1
2022-12-27,298,1
2022-12-28,310,1
2022-12-29,281,1
2022-12-30,298,1
2022-12-31,294,1
2023-01-01,301,1
2023-01-02,255,1
2023-01-03,299,1
2023-01-04,282,1
2023-01-05,309,1
2023-01-06,310,1
2023-01-07,304,1
2023-01-08,328,1
2023-01-09,309,1
2023-01-10,298,1
2023-01-11,304,1
2023-01-12,295,1
2023-01-13,305,1
2023-01-14,306,1
2023-01-15,316,1
2023-01-16,272,1
2023-01-17,305,1
2023-01-18,298,1
2023-01-19,292,1
2023-01-20,310,1
2023-01-21,308,1
2023-01-22,317,1
2023-01-23,327,1
2023-01-24,320,1
2023-01-25,310,1
2023-01-26,319,1
2023-01-27,316,1
2023-01-28,334,1
2023-01-29,321,1
2023-01-30,314,1
2023-01-31,328,1
2023-02-01,309,1
2023-02-02,312,1
2023-02-03,310,1
2023-02-04,324,1
2023-02-05,282,1
2023-02-06,308,1
2023-02-07,307,1
2023-02-08,330,1
2023-02-09,323,1
2023-02-10,329,1
2023-02-11,302,1
2023-02-12,328,1
2023-02-13,318,1
2023-02-14,322,1
2023-02-15,339,1
2023-02-16,324,1
2023-02-17,338,1
2023-02-18,343,1
2023-02-19,363,1
2023-02-20,342,1
2023-02-21,350,1
2023-02-22,331,1
2023-02-23,324,1
2023-02-24,319,1
2023-02-25,336,1
2023-02-26,346,1
2023-02-27,315,1
2023-02-28,341,1
2023-03-01,357,1
2023-03-02,339,1
2023-03-03,327,1
2023-03-04,336,1
2023-03-05,328,1
2023-03-06,351,1
2023-03-07,347,1
2023-03-08,337,1
2023-03-09,335,1
2023-03-10,339,1
2023-03-11,332,1
2023-03-12,351,1
2023-03-12,345,1
2023-03-13,350,1
2023-03-14,356,1
2023-03-15,347,1
2023-03-16,345,1
2023-03-17,336,1
2023-03-18,372,1
2023-03-19,364,1
2023-03-20,344,1
2023-03-21,321,1
2023-03-22,349,1
2023-03-23,355,1
2023-03-24,340,1
2023-03-25,375,1
2023-03-26,355,1
2023-03-27,361,1
2023-03-28,334,1
2023-03-29,344,1
2023-03-30,358,1
2023-03-31,334,1
2023-04-01,361,1
2023-04-02,332,1
2023-04-03,348,1
2023-04-04,365,1
2023-04-05,341,1
2023-04-06,356,1
2023-04-07,368,1
2023-04-08,384,1
2023-04-09,370,1
2023-04-10,351,1
2023-04-11,350,1
2023-04-12,366,1
2023-04-13,339,1
2023-04-14,349,1
2023-04-15,391,1
2023-04-16,335,1
2023-04-17,365,1
2023-04-18,347,1
2023-04-19,359,1
2023-04-20,353,1
2023-04-21,348,1
2023-04-22,361,1
2023-04-23,332,1
2023-04-24,375,1
2023-04-25,361,1
2023-04-26,358,1
2023-04-27,360,1
2023-04-28,359,1
2023-04-29,347,1
2023-04-30,357,1
2023-05-01,365,1
2023-05-02,355,1
2023-05-03,360,1
2023-05-04,390,1
2023-05-05,361,1
2023-05-06,348,1
2023-05-07,376,1
2023-05-08,376,1
2023-05-09,363,1
2023-05-10,369,1
2023-05-11,370,1
2023-05-12,360,1
2023-05-13,397,1
2023-05-14,384,1
2023-05-15,371,1
2023-05-16,371,1
2023-05-17,365,1
2023-05-18,374,1
2023-05-19,378,1
2023-05-20,358,1
2023-05-21,408,1
2023-05-22,370,1
2023-05-23,382,1
2023-05-24,377,1
2023-05-25,367,1
2023-05-26,388,1
2023-05-27,390,1
2023-05-28,364,1
2023-05-29,365,1
2023-05-30,381,1
2023-05-31,375,1
2023-06-01,383,1
2023-06-02,387,1
2023-06-03,364,1
2023-06-04,386,1
2023-06-05,378,1
2023-06-06,399,1
2023-06-07,392,1
2023-06-08,392,1
2023-06-09,400,1
2023-06-10,413,1
2023-06-11,377,1
2023-06-12,383,1
2023-06-13,390,1
2023-06-14,384,1
2023-06-15,378,1
2023-06-16,385,1
2023-06-17,381,1
2023-06-18,403,1
2023-06-19,373,1
2023-06-20,398,1
2023-06-21,393,1
2023-06-22,392,1
2023-06-23,395,1
2023-06-24,374,1
2023-06-25,388,1
2023-06-26,403,1
2023-06-27,406,1
2023-06-28,396,1
2023-06-29,383,1
2023-06-30,399,1
2023-07-01,401,1
2023-07-02,365,1
2023-07-03,401,1
2023-07-04,404,1
2023-07-05,408,1
2023-07-06,395,1
2023-07-07,410,1
2023-07-08,409,1
2023-07-09,386,1
2023-07-10,404,1
2023-07-11,384,1
2023-07-12,402,1
2023-07-13,413,1
2023-07-14,405,1
2023-07-15,452,1
2023-07-16,426,1
2023-07-17,397,1
2023-07-18,395,1
2023-07-19,406,1
2023-07-20,393,1
2023-07-21,396,1
2023-07-22,386,1
2023-07-23,427,1
2023-07-24,422,1
2023-07-25,418,1
2023-07-26,408,1
2023-07-27,432,1
2023-07-28,411,1
2023-07-29,374,1
2023-07-30,455,1
2023-07-31,401,1
2023-08-01,408,1
2023-08-02,419,1
2023-08-03,416,1
2023-08-04,413,1
2023-08-05,428,1
2023-08-06,434,1
2023-08-07,415,1
2023-08-08,413,1
2023-08-09,420,1
2023-08-10,412,1
2023-08-11,416,1
2023-08-12,437,1
2023-08-13,455,1
2023-08-14,416,1
2023-08-15,405,1
2023-08-16,398,1
2023-08-17,429,1
2023-08-18,442,1
2023-08-19,415,1
2023-08-20,427,1
2023-08-21,443,1
2023-08-22,435,1
2023-08-23,423,1
2023-08-24,427,1
2023-08-25,419,1
2023-08-26,415,1
2023-08-27,444,1
2023-08-28,424,1
2023-08-29,431,1
2023-08-30,444,1
2023-08-31,431,1
2023-09-01,406,1
2023-09-02,436,1
2023-09-03,431,1
2023-09-04,427,1
2023-09-05,431,1
2023-09-06,438,1
2023-09-07,432,1
2023-09-08,434,1
2023-09-09,412,1
2023-09-10,455,1
2023-09-11,445,1
2023-09-12,423,1
2023-09-13,441,1
2023-09-14,445,1
2023-09-15,424,1
2023-09-16,461,1
2023-09-17,476,1
2023-09-18,449,1
2023-09-19,446,1
2023-09-20,440,1
2023-09-21,456,1
2023-09-22,433,1
2023-09-23,454,1
2023-09-24,487,1
2023-09-25,438,1
2023-09-26,444,1
2023-09-27,449,1
2023-09-28,457,1
2023-09-29,442,1
2023-09-30,436,1
2023-10-01,464,1
2023-10-02,457,1
2023-10-03,451,1
2023-10-04,444,1
2023-10-05,457,1
2023-10-06,459,1
2023-10-07,408,1
2023-10-08,470,1
2023-10-09,444,1
2023-10-10,444,1
2023-10-11,447,1
2023-10-12,469,1
2023-10-13,449,1
2023-10-14,454,1
2023-10-15,461,1
2023-10-16,469,1
2023-10-17,442,1
2023-10-18,474,1
2023-10-19,467,1
2023-10-20,447,1
2023-10-21,444,1
2023-10-22,477,1
2023-10-23,477,1
2023-10-24,458,1
2023-10-25,472,1
2023-10-26,463,1
2023-10-27,468,1
2023-10-28,468,1
2023-10-29,465,1
2023-10-30,462,1
2023-10-31,458,1
2023-11-01,460,1
2023-11-02,464,1
2023-11-03,458,1
2023-11-04,474,1
2023-11-06,480,1
2023-11-07,463,1
2023-11-08,466,1
2023-11-09,470,1
2023-11-10,484,1
2023-11-11,476,1
2023-11-12,480,1
2023-11-13,497,1
2023-11-14,473,1
2023-11-15,464,1
2023-11-16,470,1
2023-11-17,462,1
2023-11-18,491,1
2023-11-19,462,1
2023-11-20,472,1
2023-11-21,483,1
2023-11-22,464,1
2023-11-23,479,1
2023-11-24,463,1
2023-11-25,483,1
2023-11-26,483,1
2023-11-27,503,1
2023-11-28,479,1
2023-11-29,464,1
2023-11-30,488,1
2023-12-01,481,1
2023-12-02,489,1
2023-12-03,472,1
2023-12-04,503,1
2023-12-05,501,1
2023-12-06,475,1
2023-12-07,484,1
2023-12-08,489,1
2023-12-09,482,1
2023-12-10,469,1
2023-12-11,497,1
2023-12-12,480,1
2023-12-13,489,1
2023-12-14,479,1
2023-12-15,489,1
2023-12-16,490,1
2023-12-17,467,1
2023-12-18,469,1
2023-12-19,498,1
2023-12-20,491,1
2023-12-21,499,1
2023-12-22,514,1
2023-12-23,479,1
2023-12-24,482,1
2023-12-25,488,1
2023-12-26,499,1
2023-12-27,501,1
2023-12-28,481,1
2023-12-29,490,1
2023-12-30,497,1
2023-12-31,497,1
2024-01-01,511,1
2024-01-02,501,1
2024-01-03,509,1
2024-01-04,497,1
2024-01-05,504,1
2024-01-06,486,1
2024-01-07,503,1
2024-01-08,474,1
2024-01-09,509,1
2024-01-10,511,1
2024-01-11,494,1
2024-01-12,505,1
2024-01-13,512,1
2024-01-14,489,1
2024-01-15,472,1
2024-01-16,504,1
2024-01-17,508,1
2024-01-18,502,1
2024-01-19,499,1
2024-01-20,498,1
2024-01-21,476,1
2024-01-22,532,1
2024-01-23,504,1
2024-01-24,525,1
2024-01-25,499,1
2024-01-26,521,1
2024-01-27,507,1
2024-01-28,481,1
2024-01-29,572,1
2024-01-30,512,1
2024-01-31,501,1
2024-02-01,510,1
2024-02-02,524,1
2024-02-03,514,1
2024-02-04,491,1
2024-02-05,488,1
2024-02-06,524,1
2024-02-07,522,1
2024-02-08,521,1
2024-02-09,517,1
2024-02-10,527,1
2024-02-11,536,1
2024-02-12,540,1
2024-02-13,520,1
2024-02-14,514,1
2024-02-15,511,1
2024-02-16,523,1
2024-02-17,511,1
2024-02-18,526,1
2024-02-19,553,1
2024-02-20,527,1
2024-02-21,539,1
2024-02-22,526,1
2024-02-23,548,1
2024-02-24,535,1
2024-02-25,509,1
2024-02-26,565,1
2024-02-27,543,1
2024-02-28,525,1
2024-02-29,549,1
2024-03-01,524,1
2024-03-02,536,1
2024-03-03,536,1
2024-03-04,544,1
2024-03-05,536,1
2024-03-06,532,1
2024-03-07,538,1
2024-03-08,524,1
2024-03-09,543,1
2024-03-10,538,1
2024-03-10,536,1
2024-03-11,529,1
2024-03-12,531,1
2024-03-13,547,1
2024-03-14,539,1
2024-03-15,543,1
2024-03-16,568,1
2024-03-17,513,1
2024-03-18,535,1
2024-03-19,531,1
2024-03-20,540,1
2024-03-21,562,1
2024-03-22,542,1
2024-03-23,557,1
2024-03-24,530,1
2024-03-25,541,1
2024-03-26,538,1
2024-03-27,538,1
2024-03-28,543,1
2024-03-29,535,1
2024-03-30,580,1
2024-03-31,573,1
2024-04-01,545,1
2024-04-02,539,1
2024-04-03,570,1
2024-04-04,541,1
2024-04-05,553,1
2024-04-06,528,1
2024-04-07,553,1
2024-04-08,530,1
2024-04-09,554,1
2024-04-10,565,1
2024-04-11,553,1
2024-04-12,562,1
2024-04-13,513,1
2024-04-14,583,1
2024-04-15,573,1
2024-04-16,548,1
2024-04-17,546,1
2024-04-18,556,1
2024-04-19,572,1
2024-04-20,593,1
2024-04-21,583,1
2024-04-22,549,1
2024-04-23,534,1
2024-04-24,563,1
2024-04-25,575,1
2024-04-26,570,1
2024-04-27,582,1
2024-04-28,579,1
2024-04-29,578,1
2024-04-30,556,1
2024-05-01,576,1
2024-05-02,584,1
2024-05-03,569,1
2024-05-04,571,1
2024-05-05,570,1
2024-05-06,582,1
2024-05-07,585,1
2024-05-08,570,1
2024-05-09,562,1
2024-05-10,574,1
2024-05-11,577,1
2024-05-12,573,1
2024-05-13,577,1
2024-05-14,570,1
2024-05-15,573,1
2024-05-16,586,1
2024-05-17,587,1
2024-05-18,573,1
2024-05-19,538,1
2024-05-20,593,1
2024-05-21,577,1
2024-05-22,585,1
2024-05-23,587,1
2024-05-24,575,1
2024-05-25,596,1
2024-05-26,595,1
2024-05-27,593,1
2024-05-28,594,1
2024-05-29,588,1
2024-05-30,585,1
2024-05-31,581,1
2024-06-01,568,1
2024-06-02,590,1
2024-06-03,589,1
2024-06-04,595,1
2024-06-05,597,1
2024-06-06,578,1
2024-06-07,594,1
2024-06-08,556,1
2024-06-09,604,1
2024-06-10,588,1
2024-06-11,593,1
2024-06-12,595,1
2024-06-13,593,1
2024-06-14,584,1
2024-06-15,630,1
2024-06-16,604,1
2024-06-17,596,1
2024-06-18,591,1
2024-06-19,588,1
2024-06-20,607,1
2024-06-21,592,1
2024-06-22,637,1
2024-06-23,586,1
2024-06-24,599,1
2024-06-25,573,1
2024-06-26,604,1
2024-06-27,609,1
2024-06-28,617,1
2024-06-29,571,1
2024-06-30,600,1
2024-07-01,594,1
2024-07-02,622,1
2024-07-03,618,1
2024-07-04,608,1
2024-07-05,602,1
2024-07-06,585,1
2024-07-07,610,1
2024-07-08,601,1
2024-07-09,604,1
2024-07-10,610,1
2024-07-11,608,1
2024-07-12,606,1
2024-07-13,600,1
2024-07-14,606,1
2024-07-15,614,1
2024-07-16,590,1
2024-07-17,619,1
2024-07-18,589,1
2024-07-19,617,1
2024-07-20,589,1
2024-07-21,646,1
2024-07-22,611,1
2024-07-23,621,1
2024-07-24,624,1
2024-07-25,633,1
2024-07-26,623,1
2024-07-27,614,1
2024-07-28,628,1
2024-07-29,614,1
2024-07-30,606,1
2024-07-31,617,1
2024-08-01,615,1
2024-08-02,614,1
2024-08-03,569,1
2024-08-04,630,1
2024-08-05,608,1
2024-08-06,619,1
2024-08-07,631,1
2024-08-08,612,1
2024-08-09,628,1
2024-08-10,631,1
2024-08-11,628,1
2024-08-12,601,1
2024-08-13,601,1
2024-08-14,621,1
2024-08-15,607,1
2024-08-16,623,1
2024-08-17,616,1
2024-08-18,644,1
2024-08-19,634,1
2024-08-20,630,1
2024-08-21,638,1
2024-08-22,635,1
2024-08-23,616,1
2024-08-24,602,1
2024-08-25,590,1
2024-08-26,641,1
2024-08-27,644,1
2024-08-28,638,1
2024-08-29,628,1
2024-08-30,636,1
2024-08-31,645,1
2024-09-01,640,1
2024-09-02,622,1
2024-09-03,626,1
2024-09-04,626,1
2024-09-05,630,1
2024-09-06,620,1
2024-09-07,631,1
2024-09-08,673,1
2024-09-09,644,1
2024-09-10,628,1
2024-09-11,638,1
2024-09-12,635,1
2024-09-13,621,1
2024-09-14,654,1
2024-09-15,628,1
2024-09-16,642,1
2024-09-17,646,1
2024-09-18,645,1
2024-09-19,664,1
2024-09-20,661,1
2024-09-21,651,1
2024-09-22,634,1
2024-09-23,664,1
2024-09-24,636,1
2024-09-25,656,1
2024-09-26,643,1
2024-09-27,666,1
2024-09-28,680,1
2024-09-29,671,1
2024-09-30,639,1
2024-10-01,651,1
2024-10-02,640,1
2024-10-03,646,1
2024-10-04,648,1
2024-10-05,651,1
2024-10-06,655,1
2024-10-07,645,1
2024-10-08,672,1
2024-10-09,651,1
2024-10-10,652,1
2024-10-11,649,1
2024-10-12,664,1
2024-10-13,699,1
2024-10-14,651,1
